,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,269,0.0089,0.995,4.2072,0.4119,checkpoint_0269.pth,5.243778351560576e-05
0,270,0.0085,0.9952,4.1179,0.4152,checkpoint_0270.pth,4.916416281004059e-05
0,271,0.0087,0.9956,4.1399,0.4133,checkpoint_0271.pth,4.5990768701697705e-05
0,272,0.0086,0.9953,4.0699,0.4199,checkpoint_0272.pth,4.291830667371738e-05
0,273,0.0077,0.9961,3.9294,0.4391,checkpoint_0273.pth,3.994745977084154e-05
0,274,0.0082,0.9955,4.2714,0.411,checkpoint_0274.pth,3.70788884475648e-05
0,275,0.008,0.9958,4.0196,0.4166,checkpoint_0275.pth,3.431323042130793e-05
0,276,0.0089,0.995,4.1264,0.4077,checkpoint_0276.pth,3.1651100530644945e-05
0,277,0.008,0.9961,4.0062,0.425,checkpoint_0277.pth,2.9093090598618042e-05
0,278,0.008,0.9956,4.1771,0.4142,checkpoint_0278.pth,2.6639769301168037e-05
0,279,0.0086,0.9961,4.0977,0.4105,checkpoint_0279.pth,2.4291682040710515e-05
0,280,0.0088,0.9956,4.0829,0.4021,checkpoint_0280.pth,2.2049350824887046e-05
0,281,0.0087,0.9956,3.9406,0.4175,checkpoint_0281.pth,1.9913274150516474e-05
0,282,0.0072,0.9962,4.1819,0.396,checkpoint_0282.pth,1.788392689277301e-05
0,283,0.0089,0.9952,4.1813,0.3997,checkpoint_0283.pth,1.5961760199615712e-05
0,284,0.0069,0.9959,4.0298,0.4035,checkpoint_0284.pth,1.4147201391493732e-05
0,285,0.006,0.9962,3.9783,0.4091,checkpoint_0285.pth,1.2440653866347007e-05
0,286,0.0092,0.9945,4.1243,0.4086,checkpoint_0286.pth,1.0842497009926367e-05
0,287,0.0078,0.9962,4.1507,0.3993,checkpoint_0287.pth,9.353086111452057e-06
0,288,0.0078,0.9961,4.1824,0.3918,checkpoint_0288.pth,7.972752284628125e-06
0,289,0.0088,0.9953,4.1476,0.4021,checkpoint_0289.pth,6.70180239403215e-06
0,290,0.0075,0.9962,4.0528,0.4077,checkpoint_0290.pth,5.540518986895759e-06
0,291,0.0084,0.995,4.063,0.4072,checkpoint_0291.pth,4.489160230290784e-06
0,292,0.0076,0.9961,4.048,0.4025,checkpoint_0292.pth,3.5479598537356834e-06
0,293,0.0095,0.9953,4.0978,0.4119,checkpoint_0293.pth,2.717127097235093e-06
0,294,0.0086,0.9967,4.2142,0.4016,checkpoint_0294.pth,1.996846664762551e-06
0,295,0.0073,0.9966,4.1324,0.4044,checkpoint_0295.pth,1.387278683199346e-06
0,296,0.0082,0.9959,4.2163,0.3978,checkpoint_0296.pth,8.885586667360201e-07
0,297,0.0077,0.9959,4.1075,0.4035,checkpoint_0297.pth,5.007974867459806e-07
0,298,0.007,0.9962,4.2757,0.3885,checkpoint_0298.pth,2.2408134713759054e-07
0,299,0.0084,0.9956,4.2323,0.3899,checkpoint_0299.pth,5.847176519007596e-08
0,300,0.0088,0.9955,4.3502,0.3941,checkpoint_0300.pth,4.005557877186876e-09
