,epoch,train_loss,train_acc,valid_loss,valid_acc,name_checkpoint,lr
0,171,0.0284,0.9895,1.2852,0.7074,checkpoint_0171.pth,0.0006725952716580712
0,172,0.0349,0.9885,1.4036,0.705,checkpoint_0172.pth,0.0006655794822755958
0,173,0.0282,0.9913,1.4264,0.7098,checkpoint_0173.pth,0.0006585268830554002
0,174,0.0397,0.9875,1.2827,0.7256,checkpoint_0174.pth,0.0006514390418739202
0,175,0.0354,0.9869,1.1934,0.735,checkpoint_0175.pth,0.000644317534442298
0,176,0.0311,0.9887,1.346,0.7311,checkpoint_0176.pth,0.0006371639439560821
0,177,0.0438,0.986,1.4829,0.7161,checkpoint_0177.pth,0.0006299798607432646
0,178,0.0421,0.9852,1.2151,0.7287,checkpoint_0178.pth,0.000622766881910732
0,179,0.0391,0.9875,1.2931,0.7303,checkpoint_0179.pth,0.0006155266109892103
0,180,0.033,0.9877,1.4514,0.7287,checkpoint_0180.pth,0.0006082606575767801
0,181,0.0382,0.9881,1.4566,0.7263,checkpoint_0181.pth,0.0006009706369810442
0,182,0.0284,0.9909,1.4061,0.7303,checkpoint_0182.pth,0.0005936581698600258
0,183,0.0324,0.9891,1.3948,0.7224,checkpoint_0183.pth,0.0005863248818618769
0,184,0.0357,0.9881,1.3626,0.7153,checkpoint_0184.pth,0.000578972403263477
0,185,0.0248,0.9917,1.5168,0.7169,checkpoint_0185.pth,0.0005716023686080044
0,186,0.0314,0.9907,1.3618,0.7271,checkpoint_0186.pth,0.000564216416341556
0,187,0.0244,0.9917,1.4059,0.7248,checkpoint_0187.pth,0.0005568161884489033
0,188,0.0299,0.9889,1.4727,0.7098,checkpoint_0188.pth,0.0005494033300884584
0,189,0.0213,0.9917,1.4264,0.724,checkpoint_0189.pth,0.0005419794892265359
0,190,0.0312,0.9893,1.498,0.7129,checkpoint_0190.pth,0.0005345463162709911
0,191,0.0307,0.9885,1.4439,0.7232,checkpoint_0191.pth,0.0005271054637043145
0,192,0.0236,0.9917,1.4984,0.7232,checkpoint_0192.pth,0.0005196585857162647
0,193,0.0256,0.9921,1.4019,0.7421,checkpoint_0193.pth,0.0005122073378361232
0,194,0.033,0.9897,1.3511,0.7516,checkpoint_0194.pth,0.0005047533765646505
0,195,0.0218,0.9913,1.2755,0.7413,checkpoint_0195.pth,0.0004972983590058258
0,196,0.0219,0.9939,1.3129,0.7319,checkpoint_0196.pth,0.0004898439424984537
0,197,0.0274,0.9911,1.2091,0.7216,checkpoint_0197.pth,0.00048239178424771796
0,198,0.0223,0.9925,1.2299,0.7303,checkpoint_0198.pth,0.0004749435409567652
0,199,0.0182,0.9945,1.2969,0.724,checkpoint_0199.pth,0.00046750086845839995
0,200,0.0177,0.9925,1.3658,0.7224,checkpoint_0200.pth,0.0004600654213469731
0,201,0.0211,0.9919,1.3609,0.7271,checkpoint_0201.pth,0.0004526388526105471
0,202,0.0203,0.9931,1.4556,0.739,checkpoint_0202.pth,0.00044522281326341603
0,203,0.0194,0.9925,1.4771,0.735,checkpoint_0203.pth,0.00043781895197906543
0,204,0.0172,0.9939,1.5548,0.739,checkpoint_0204.pth,0.0004304289147236537
0,205,0.0143,0.9949,1.5753,0.7287,checkpoint_0205.pth,0.00042305434439009345
0,206,0.0209,0.9921,1.6252,0.709,checkpoint_0206.pth,0.0004156968804328173
0,207,0.0201,0.9933,1.4829,0.7216,checkpoint_0207.pth,0.00040835815850330715
0,208,0.0084,0.997,1.4704,0.7208,checkpoint_0208.pth,0.0004010398100864703
0,209,0.0102,0.9962,1.4779,0.735,checkpoint_0209.pth,0.00039374346213794066
0,210,0.0194,0.9929,1.482,0.7137,checkpoint_0210.pth,0.0003864707367223865
0,211,0.0178,0.9937,1.3451,0.7374,checkpoint_0211.pth,0.00037922325065290776
0,212,0.0158,0.9943,1.414,0.7279,checkpoint_0212.pth,0.00037200261513159775
0,213,0.0201,0.9939,1.5128,0.7287,checkpoint_0213.pth,0.0003648104353913552
0,214,0.0142,0.9958,1.5151,0.724,checkpoint_0214.pth,0.0003576483103390206
0,215,0.0098,0.997,1.4331,0.7421,checkpoint_0215.pth,0.00035051783219992123
0,216,0.0121,0.9947,1.4562,0.7429,checkpoint_0216.pth,0.0003434205861639004
0,217,0.013,0.9964,1.4534,0.7413,checkpoint_0217.pth,0.00033635815003291104
